station;lat(deg);lon(deg);time;buoy_station
2933;60.10354;-8.96693;04.09.2020 09:50:47;nan
2934;59.94355;-9.05678;04.09.2020 12:24:01;nan
2935;59.7849;-9.15364;04.09.2020 15:04:35;nan
2936;59.64295;-9.2338;04.09.2020 17:28:39;nan
2937;59.501;-9.334;04.09.2020 20:59:36;2937
2938;61.71142;-5.96192;05.09.2020 17:53:35;nan
2939;61.60621;-5.62124;05.09.2020 19:43:19;nan
2945;61.1336;-4.0668;06.09.2020 07:04:11;nan
2946;61.0668;-3.8684;06.09.2020 08:39:46;nan
2947;60.9853;-3.6346;06.09.2020 11:03:16;nan
2948;60.8684;-3.3006;06.09.2020 13:25:35;nan
2949;60.7515;-2.9185;06.09.2020 15:40:21;nan
2950;60.6346;-2.6012;06.09.2020 17:24:21;nan
2951;60.5177;-2.2672;06.09.2020 19:14:31;nan
